model,dataset,trial_id,fold,n_estimators,max_depth,train_acc,val_acc,test_acc,generalization_gap,elapsed_time,source_file
FBT,magic,0,4,20,5,0.799316,0.787584,0.791106,0.00821,33.145219,fbt_capability_magic_n20_d5_trial_0_fold_4.json
FBT,magic,0,4,60,3,0.80722,0.799551,0.807549,-0.000329,27.183275,fbt_capability_magic_n60_d3_trial_0_fold_4.json
FBT,magic,0,4,60,5,0.792374,0.789828,0.797085,-0.004711,102.642931,fbt_capability_magic_n60_d5_trial_0_fold_4.json
FBT,magic,0,4,60,4,0.803482,0.787584,0.795964,0.007518,50.824583,fbt_capability_magic_n60_d4_trial_0_fold_4.json
FBT,magic,0,4,20,3,0.778597,0.775617,0.782511,-0.003914,6.460473,fbt_capability_magic_n20_d3_trial_0_fold_4.json
FBT,raisin,0,0,80,3,0.9,0.833333,0.833333,0.066667,4.765901,fbt_capability_raisin_n80_d3_trial_0_fold_0.json
FBT,raisin,0,0,80,5,0.877778,0.822222,0.85,0.027778,7.062824,fbt_capability_raisin_n80_d5_trial_0_fold_0.json
FBT,raisin,0,0,80,4,0.87619,0.877778,0.833333,0.042857,6.413727,fbt_capability_raisin_n80_d4_trial_0_fold_0.json
FBT,raisin,0,0,100,5,0.877778,0.877778,0.833333,0.044445,7.14065,fbt_capability_raisin_n100_d5_trial_0_fold_0.json
FBT,raisin,0,0,40,4,0.898413,0.9,0.833333,0.06508,3.572904,fbt_capability_raisin_n40_d4_trial_0_fold_0.json
FBT,raisin,0,0,40,5,0.903175,0.855556,0.844444,0.058731,5.329618,fbt_capability_raisin_n40_d5_trial_0_fold_0.json
FBT,raisin,0,0,100,4,0.884127,0.866667,0.833333,0.050794,6.241093,fbt_capability_raisin_n100_d4_trial_0_fold_0.json
FBT,raisin,0,0,40,3,0.892063,0.833333,0.844444,0.047619,2.392281,fbt_capability_raisin_n40_d3_trial_0_fold_0.json
FBT,raisin,0,0,100,3,0.896825,0.877778,0.822222,0.074603,5.26021,fbt_capability_raisin_n100_d3_trial_0_fold_0.json
FBT,raisin,0,0,20,3,0.898413,0.844444,0.855556,0.042857,0.926663,fbt_capability_raisin_n20_d3_trial_0_fold_0.json
FBT,raisin,0,0,60,5,0.895238,0.866667,0.85,0.045238,5.854101,fbt_capability_raisin_n60_d5_trial_0_fold_0.json
FBT,raisin,0,0,60,4,0.874603,0.855556,0.833333,0.04127,4.940504,fbt_capability_raisin_n60_d4_trial_0_fold_0.json
FBT,raisin,0,0,60,3,0.892063,0.911111,0.844444,0.047619,3.671618,fbt_capability_raisin_n60_d3_trial_0_fold_0.json
FBT,raisin,0,0,20,4,0.884127,0.888889,0.838889,0.045238,2.381999,fbt_capability_raisin_n20_d4_trial_0_fold_0.json
FBT,raisin,0,0,20,5,0.901587,0.877778,0.833333,0.068254,2.652216,fbt_capability_raisin_n20_d5_trial_0_fold_0.json
FBT,raisin,0,0,10,4,0.919048,0.855556,0.844444,0.074604,1.166941,fbt_capability_raisin_n10_d4_trial_0_fold_0.json
